date,sales_revenue,sales_cogs,year,quarter,month,month_name,year_month,weekday,day_of_week,sales_margin,sales_margin_pct,order_count,cancelled_orders,returned_orders,item_net_revenue,item_margin,avg_order_value,promo_order_share,cod_order_share,avg_fulfillment_days,cancel_rate,return_order_rate,sessions,unique_visitors,page_views,weighted_bounce_rate,weighted_avg_session_duration_sec,sales_revenue_rolling_7d,sales_margin_rolling_7d,sales_revenue_rolling_30d,sales_margin_rolling_30d,sales_revenue_rolling_90d,sales_margin_rolling_90d,orders_per_session,revenue_per_session,page_views_per_session
2012-07-04,5123547.94,3982991.19,2012,3,7,July,2012-07,Wednesday,3,1140556.7500000005,0.22261073056339947,162,9,11,5123547.94,1140556.7505618117,31626.83913580247,0.0,0.13580246913580246,5.891156462585034,0.05555555555555555,0.06790123456790123,0.0,0.0,0.0,,,5123547.94,1140556.7500000005,5123547.94,1140556.7500000005,5123547.94,1140556.7500000005,,,
2012-07-05,2751773.45,2150580.23,2012,3,7,July,2012-07,Thursday,4,601193.2200000002,0.21847482393581497,97,9,5,2751773.45,601193.2162423312,28368.798453608248,0.0,0.16494845360824742,6.32183908045977,0.09278350515463918,0.05154639175257732,0.0,0.0,0.0,,,3937660.6950000003,870874.9850000003,3937660.6950000003,870874.9850000003,3937660.6950000003,870874.9850000003,,,
2012-07-06,3054029.42,2517632.84,2012,3,7,July,2012-07,Friday,5,536396.5800000001,0.17563569508770485,93,11,7,3054029.42,536396.576638897,32839.02602150538,0.0,0.11827956989247312,5.848101265822785,0.11827956989247312,0.07526881720430108,0.0,0.0,0.0,,,3643116.936666667,759382.1833333336,3643116.936666667,759382.1833333336,3643116.936666667,759382.1833333336,,,
2012-07-07,2667930.94,2108246.62,2012,3,7,July,2012-07,Saturday,6,559684.3199999998,0.2097821617526576,73,8,6,2667930.94,559684.319357176,36546.99917808219,0.0,0.1917808219178082,6.096774193548387,0.1095890410958904,0.0821917808219178,0.0,0.0,0.0,,,3399320.4375,709457.7175000001,3399320.4375,709457.7175000001,3399320.4375,709457.7175000001,,,
2012-07-08,2360851.9,1808622.79,2012,3,7,July,2012-07,Sunday,7,552229.1099999999,0.23391094968727175,88,5,8,2360851.9,552229.105133976,26827.8625,0.0,0.09090909090909091,5.782051282051282,0.056818181818181816,0.09090909090909091,0.0,0.0,0.0,,,3191626.73,678011.996,3191626.73,678011.996,3191626.73,678011.996,,,
2012-07-09,3548386.46,2787841.68,2012,3,7,July,2012-07,Monday,1,760544.7799999998,0.21433538555436824,137,20,8,3548386.46,760544.7794584602,25900.631094890512,0.0,0.145985401459854,5.7043478260869565,0.145985401459854,0.058394160583941604,0.0,0.0,0.0,,,3251086.685,691767.4600000001,3251086.685,691767.4600000001,3251086.685,691767.4600000001,,,
2012-07-10,5234938.62,4044438.84,2012,3,7,July,2012-07,Tuesday,2,1190499.7800000003,0.22741427673129055,183,18,9,5234938.62,1190499.7833996764,28606.221967213114,0.0,0.15300546448087432,5.701298701298701,0.09836065573770492,0.04918032786885246,0.0,0.0,0.0,,,3534494.104285714,763014.9342857144,3534494.104285714,763014.9342857144,3534494.104285714,763014.9342857144,,,
2012-07-11,5582884.78,4338313.07,2012,3,7,July,2012-07,Wednesday,3,1244571.71,0.2229262754012989,221,16,13,5582884.78,1244571.7113310418,25261.922081447967,0.0,0.167420814479638,6.040609137055838,0.07239819004524888,0.058823529411764705,0.0,0.0,0.0,,,3600113.652857143,777874.2142857143,3790542.93875,823209.53125,3790542.93875,823209.53125,,,
2012-07-12,5734632.02,4458811.27,2012,3,7,July,2012-07,Thursday,4,1275820.75,0.2224764807141017,246,20,7,5734632.02,1275820.7477351802,23311.512276422764,0.0,0.14634146341463414,5.889908256880734,0.08130081300813008,0.028455284552845527,0.0,0.0,0.0,,,4026236.305714286,874249.5757142856,4006552.836666667,873499.6666666666,4006552.836666667,873499.6666666666,,,
2012-07-13,5309511.71,4143402.78,2012,3,7,July,2012-07,Friday,5,1166108.9300000002,0.2196263976221648,201,18,6,5309511.71,1166108.9310393622,26415.48114427861,0.0,0.16417910447761194,6.08092485549133,0.08955223880597014,0.029850746268656716,0.0,0.0,0.0,,,4348448.061428571,964208.4828571428,4136848.7240000004,902760.593,4136848.7240000004,902760.593,,,
